DeviceTag: Movella DOT,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2025-11-10 09:21:00.404,Â© Movella Technologies B.V. 2005-2025
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
4228753,0.9752,-0.0080,0.0040,-0.2212,0.0050,0.0357,-0.0095,0
4228919,0.9748,-0.0081,0.0040,-0.2231,-0.0020,0.0220,0.0224,0
4229086,0.9746,-0.0081,0.0041,-0.2236,-0.0052,0.0250,-0.0057,0
4229253,0.9744,-0.0082,0.0042,-0.2244,0.0112,0.0260,-0.0133,0
4229419,0.9745,-0.0082,0.0042,-0.2240,0.0049,0.0330,0.0092,0
4229586,0.9747,-0.0083,0.0042,-0.2235,0.0071,0.0371,0.0089,0
4229753,0.9746,-0.0084,0.0042,-0.2239,0.0082,0.0327,0.0062,0
4229919,0.9746,-0.0086,0.0042,-0.2238,-0.0027,0.0314,0.0181,0
4230086,0.9745,-0.0088,0.0042,-0.2243,-0.0031,0.0325,0.0008,0
4230253,0.9745,-0.0090,0.0042,-0.2243,0.0009,0.0379,-0.0005,0
4230419,0.9745,-0.0092,0.0042,-0.2243,0.0157,0.0424,0.0154,0
4230586,0.9746,-0.0094,0.0042,-0.2239,-0.0038,0.0468,-0.0032,0
4230753,0.9745,-0.0097,0.0042,-0.2240,0.0107,0.0570,0.0046,0
4230919,0.9746,-0.0099,0.0042,-0.2239,0.0197,0.0714,0.0070,0
4231086,0.9746,-0.0101,0.0042,-0.2237,0.0093,0.0571,-0.0096,0
4231253,0.9746,-0.0104,0.0042,-0.2235,0.0100,0.0611,0.0102,0
4231419,0.9746,-0.0106,0.0042,-0.2236,0.0045,0.0717,0.0082,0
4231586,0.9746,-0.0108,0.0042,-0.2236,0.0013,0.0914,0.0097,0
4231753,0.9745,-0.0110,0.0042,-0.2242,0.0188,0.0733,0.0181,0
4231919,0.9744,-0.0113,0.0041,-0.2243,0.0241,0.0889,0.0266,0
4232086,0.9744,-0.0115,0.0041,-0.2244,0.0254,0.0974,0.0070,0
4232253,0.9744,-0.0117,0.0041,-0.2245,0.0132,0.0956,0.0103,0
4232419,0.9744,-0.0119,0.0041,-0.2246,0.0212,0.0923,0.0149,0
4232586,0.9743,-0.0121,0.0041,-0.2247,0.0214,0.1011,0.0108,0
4232753,0.9743,-0.0124,0.0041,-0.2248,0.0218,0.1069,0.0167,0
4232919,0.9743,-0.0126,0.0041,-0.2249,0.0100,0.1070,0.0295,0
4233086,0.9743,-0.0129,0.0041,-0.2248,0.0185,0.1076,-0.0053,0
4233253,0.9743,-0.0131,0.0041,-0.2248,0.0232,0.1133,-0.0070,0
4233419,0.9743,-0.0133,0.0040,-0.2248,0.0219,0.1272,-0.0063,0
4233586,0.9743,-0.0136,0.0040,-0.2247,0.0307,0.1183,0.0026,0
4233753,0.9743,-0.0138,0.0040,-0.2246,0.0296,0.1286,-0.0036,0
4233919,0.9743,-0.0140,0.0040,-0.2246,0.0406,0.1354,-0.0167,0
4234086,0.9744,-0.0143,0.0040,-0.2245,0.0351,0.1314,0.0114,0
4234253,0.9744,-0.0145,0.0040,-0.2244,0.0313,0.1542,0.0043,0
4234419,0.9744,-0.0148,0.0040,-0.2243,0.0220,0.1615,0.0075,0
4234586,0.9744,-0.0150,0.0039,-0.2245,0.0343,0.1552,0.0141,0
4234753,0.9744,-0.0152,0.0039,-0.2244,0.0376,0.1541,0.0053,0
4234919,0.9744,-0.0154,0.0039,-0.2242,0.0239,0.1630,0.0121,0
4235086,0.9744,-0.0157,0.0039,-0.2241,0.0264,0.1775,-0.0042,0
4235253,0.9744,-0.0159,0.0039,-0.2241,0.0296,0.1726,0.0058,0
4235419,0.9744,-0.0161,0.0039,-0.2242,0.0300,0.1831,0.0172,0
4235586,0.9744,-0.0164,0.0039,-0.2241,0.0275,0.1733,0.0213,0
4235753,0.9745,-0.0166,0.0038,-0.2239,0.0351,0.1797,0.0114,0
4235919,0.9744,-0.0168,0.0038,-0.2241,0.0360,0.1962,0.0050,0
4236086,0.9744,-0.0171,0.0038,-0.2240,0.0322,0.1803,-0.0138,0
4236253,0.9744,-0.0173,0.0038,-0.2240,0.0280,0.1949,0.0064,0
4236419,0.9744,-0.0176,0.0038,-0.2240,0.0437,0.2105,-0.0181,0
4236586,0.9744,-0.0178,0.0038,-0.2241,0.0476,0.2243,0.0056,0
4236753,0.9744,-0.0180,0.0038,-0.2241,0.0307,0.2094,0.0164,0
4236919,0.9744,-0.0182,0.0038,-0.2239,0.0578,0.2239,0.0014,0
4237086,0.9744,-0.0185,0.0037,-0.2239,0.0343,0.2239,-0.0008,0
4237253,0.9744,-0.0187,0.0037,-0.2239,0.0320,0.2313,0.0254,0
4237419,0.9744,-0.0189,0.0037,-0.2239,0.0485,0.2436,-0.0124,0
4237586,0.9744,-0.0192,0.0037,-0.2238,0.0434,0.2398,0.0125,0
4237753,0.9744,-0.0194,0.0037,-0.2238,0.0362,0.2487,0.0112,0
4237919,0.9744,-0.0196,0.0037,-0.2238,0.0371,0.2297,0.0147,0
4238086,0.9745,-0.0199,0.0037,-0.2237,0.0598,0.2503,-0.0132,0
4238253,0.9745,-0.0201,0.0037,-0.2236,0.0470,0.2479,-0.0153,0
4238419,0.9745,-0.0203,0.0037,-0.2236,0.0571,0.2660,-0.0048,0
4238586,0.9745,-0.0205,0.0037,-0.2236,0.0618,0.2528,-0.0100,0
4238753,0.9745,-0.0207,0.0037,-0.2236,0.0452,0.2677,-0.0045,0
4238919,0.9745,-0.0210,0.0037,-0.2236,0.0458,0.2669,0.0074,0
4239086,0.9744,-0.0212,0.0036,-0.2236,0.0559,0.2790,0.0009,0
4239253,0.9744,-0.0214,0.0036,-0.2236,0.0574,0.2854,0.0074,0
4239419,0.9744,-0.0216,0.0036,-0.2236,0.0438,0.2824,-0.0005,0
4239586,0.9745,-0.0218,0.0036,-0.2235,0.0506,0.2956,0.0079,0
4239753,0.9744,-0.0220,0.0036,-0.2236,0.0569,0.3020,0.0169,0
4239919,0.9744,-0.0223,0.0036,-0.2236,0.0600,0.3145,0.0050,0
4240086,0.9744,-0.0225,0.0036,-0.2236,0.0481,0.2993,-0.0063,0
4240253,0.9744,-0.0227,0.0035,-0.2235,0.0518,0.3036,-0.0046,0
4240419,0.9744,-0.0229,0.0035,-0.2235,0.0577,0.3195,0.0029,0
4240586,0.9744,-0.0231,0.0035,-0.2235,0.0633,0.3231,-0.0042,0
4240753,0.9744,-0.0233,0.0035,-0.2235,0.0596,0.3160,0.0033,0
4240919,0.9744,-0.0235,0.0035,-0.2235,0.0634,0.3082,-0.0096,0
4241086,0.9744,-0.0237,0.0035,-0.2235,0.0659,0.3373,0.0033,0
4241253,0.9744,-0.0239,0.0035,-0.2236,0.0642,0.3367,-0.0009,0
4241420,0.9744,-0.0241,0.0035,-0.2236,0.0486,0.3248,-0.0037,0
4241586,0.9744,-0.0243,0.0035,-0.2236,0.0484,0.3496,0.0001,0
4241753,0.9744,-0.0245,0.0035,-0.2236,0.0589,0.3321,-0.0076,0
4241920,0.9744,-0.0247,0.0034,-0.2236,0.0562,0.3431,-0.0143,0
4242086,0.9744,-0.0249,0.0034,-0.2235,0.0745,0.3545,-0.0010,0
4242253,0.9744,-0.0251,0.0034,-0.2236,0.0774,0.3454,0.0107,0
4242420,0.9744,-0.0253,0.0034,-0.2235,0.0608,0.3631,0.0226,0
4242586,0.9744,-0.0255,0.0034,-0.2235,0.0622,0.3635,-0.0168,0
4242753,0.9744,-0.0257,0.0034,-0.2235,0.0730,0.3762,-0.0055,0
4242920,0.9744,-0.0259,0.0034,-0.2234,0.0712,0.3688,-0.0119,0
4243086,0.9744,-0.0261,0.0034,-0.2235,0.0654,0.3832,-0.0195,0
4243253,0.9743,-0.0263,0.0034,-0.2235,0.0608,0.3821,-0.0083,0
4243420,0.9744,-0.0264,0.0034,-0.2234,0.0669,0.3769,0.0178,0
4243586,0.9744,-0.0266,0.0034,-0.2234,0.0727,0.3817,0.0084,0
4243753,0.9744,-0.0268,0.0033,-0.2234,0.0744,0.3945,-0.0092,0
4243920,0.9744,-0.0270,0.0033,-0.2234,0.0662,0.3874,-0.0069,0
4244086,0.9744,-0.0271,0.0033,-0.2233,0.0787,0.3936,0.0177,0
4244253,0.9743,-0.0273,0.0033,-0.2234,0.0795,0.4121,0.0007,0
4244420,0.9743,-0.0275,0.0033,-0.2233,0.0600,0.3841,-0.0164,0
4244586,0.9744,-0.0276,0.0033,-0.2233,0.0685,0.4072,0.0074,0
4244753,0.9743,-0.0278,0.0033,-0.2233,0.0716,0.3913,-0.0195,0
4244920,0.9743,-0.0280,0.0033,-0.2233,0.0738,0.4160,-0.0121,0
4245086,0.9743,-0.0281,0.0033,-0.2233,0.0673,0.4164,-0.0002,0
4245253,0.9743,-0.0283,0.0033,-0.2233,0.0737,0.4135,0.0061,0
4245420,0.9743,-0.0285,0.0033,-0.2233,0.0675,0.4054,0.0056,0
4245586,0.9743,-0.0286,0.0033,-0.2233,0.0857,0.4326,-0.0100,0
4245753,0.9743,-0.0288,0.0033,-0.2232,0.0704,0.4258,-0.0002,0
4245920,0.9743,-0.0289,0.0033,-0.2232,0.0790,0.4157,0.0079,0
4246086,0.9743,-0.0290,0.0033,-0.2233,0.0781,0.4278,-0.0292,0
4246253,0.9743,-0.0292,0.0033,-0.2232,0.0661,0.4279,-0.0168,0
4246420,0.9743,-0.0293,0.0033,-0.2232,0.0753,0.4278,0.0071,0
4246586,0.9743,-0.0294,0.0032,-0.2233,0.0722,0.4262,-0.0167,0
4246753,0.9743,-0.0296,0.0032,-0.2233,0.0788,0.4411,0.0087,0
4246920,0.9743,-0.0297,0.0032,-0.2232,0.0801,0.4453,0.0092,0
4247086,0.9743,-0.0298,0.0032,-0.2233,0.0784,0.4412,-0.0067,0
4247253,0.9743,-0.0299,0.0032,-0.2233,0.0809,0.4473,-0.0278,0
4247420,0.9743,-0.0301,0.0032,-0.2233,0.0676,0.4549,-0.0021,0
4247586,0.9743,-0.0302,0.0032,-0.2234,0.0756,0.4341,-0.0030,0
4247753,0.9743,-0.0303,0.0032,-0.2234,0.0764,0.4528,-0.0081,0
4247920,0.9742,-0.0304,0.0032,-0.2234,0.0873,0.4552,-0.0126,0
4248086,0.9742,-0.0305,0.0032,-0.2235,0.0790,0.4557,0.0031,0
4248253,0.9742,-0.0306,0.0032,-0.2235,0.0945,0.4578,0.0037,0
4248420,0.9742,-0.0307,0.0032,-0.2236,0.0852,0.4620,-0.0002,0
4248586,0.9746,-0.0065,0.0043,-0.2238,0.0014,-0.0111,-0.0005,0
4248753,0.9746,-0.0065,0.0043,-0.2238,-0.0095,0.0004,0.0195,0
4248920,0.9746,-0.0066,0.0043,-0.2239,-0.0057,-0.0001,0.0075,0
4249086,0.9746,-0.0066,0.0043,-0.2239,0.0048,0.0049,0.0112,0
4249253,0.9746,-0.0066,0.0043,-0.2239,-0.0144,0.0040,0.0112,0
4249420,0.9746,-0.0065,0.0043,-0.2239,-0.0016,0.0049,-0.0122,0
4249586,0.9746,-0.0065,0.0043,-0.2239,-0.0044,-0.0004,0.0171,0
4249753,0.9746,-0.0065,0.0043,-0.2239,0.0032,0.0136,-0.0017,0
4249920,0.9746,-0.0065,0.0043,-0.2239,0.0039,0.0012,-0.0009,0
4250086,0.9746,-0.0065,0.0043,-0.2239,-0.0008,0.0034,0.0203,0
4250253,0.9746,-0.0065,0.0043,-0.2239,-0.0113,-0.0019,0.0115,0
4250420,0.9746,-0.0065,0.0043,-0.2239,0.0076,0.0122,-0.0174,0
4250586,0.9746,-0.0065,0.0043,-0.2239,0.0041,-0.0078,0.0286,0
4250753,0.9746,-0.0065,0.0043,-0.2239,-0.0075,-0.0145,-0.0099,0
4250920,0.9746,-0.0065,0.0043,-0.2239,-0.0090,0.0042,0.0011,0
4251086,0.9746,-0.0065,0.0043,-0.2239,-0.0083,-0.0021,-0.0013,0
4251253,0.9746,-0.0065,0.0043,-0.2239,0.0046,-0.0043,-0.0016,0
4251420,0.9746,-0.0065,0.0043,-0.2239,-0.0039,0.0020,-0.0103,0
4251586,0.9746,-0.0065,0.0043,-0.2238,-0.0039,0.0007,0.0020,0
4251753,0.9746,-0.0065,0.0043,-0.2239,-0.0078,-0.0183,-0.0096,0
4251920,0.9746,-0.0065,0.0043,-0.2238,0.0007,0.0051,-0.0160,0
4252086,0.9746,-0.0065,0.0043,-0.2239,0.0010,0.0015,-0.0021,0
4252253,0.9746,-0.0065,0.0043,-0.2239,-0.0024,0.0095,0.0219,0
4252420,0.9746,-0.0065,0.0043,-0.2239,-0.0018,0.0030,0.0070,0
4252586,0.9746,-0.0065,0.0043,-0.2239,0.0027,0.0040,-0.0015,0
4252753,0.9746,-0.0065,0.0043,-0.2239,-0.0030,0.0133,0.0206,0
4252920,0.9746,-0.0065,0.0043,-0.2239,0.0071,0.0037,0.0035,0
4253086,0.9746,-0.0065,0.0043,-0.2240,-0.0068,0.0138,0.0087,0
4253253,0.9746,-0.0065,0.0043,-0.2239,0.0056,-0.0038,-0.0025,0
4253420,0.9746,-0.0065,0.0043,-0.2240,-0.0051,-0.0081,0.0099,0
4253586,0.9746,-0.0065,0.0043,-0.2240,-0.0028,-0.0055,0.0302,0
4253753,0.9746,-0.0065,0.0043,-0.2240,-0.0009,0.0010,-0.0007,0
4253920,0.9746,-0.0065,0.0043,-0.2240,0.0151,-0.0030,0.0153,0
4254086,0.9746,-0.0065,0.0043,-0.2239,0.0060,-0.0022,-0.0071,0
4254253,0.9746,-0.0065,0.0043,-0.2239,0.0002,-0.0188,0.0169,0
4254420,0.9746,-0.0065,0.0043,-0.2239,-0.0048,-0.0114,0.0162,0
4254586,0.9746,-0.0065,0.0043,-0.2239,-0.0019,-0.0066,0.0039,0
4254753,0.9746,-0.0065,0.0043,-0.2239,-0.0108,-0.0156,-0.0004,0
4254920,0.9746,-0.0065,0.0043,-0.2239,-0.0078,0.0005,-0.0001,0
4255086,0.9746,-0.0065,0.0043,-0.2239,-0.0060,0.0008,0.0014,0
4255253,0.9746,-0.0065,0.0043,-0.2239,0.0035,0.0006,0.0146,0
4255420,0.9746,-0.0065,0.0043,-0.2239,0.0050,0.0089,0.0119,0
4255586,0.9746,-0.0065,0.0043,-0.2239,0.0032,0.0031,0.0007,0
4255753,0.9746,-0.0065,0.0043,-0.2239,-0.0030,-0.0083,0.0155,0
4255920,0.9746,-0.0065,0.0043,-0.2239,0.0109,-0.0192,0.0089,0
4256086,0.9746,-0.0065,0.0043,-0.2239,-0.0018,0.0049,0.0318,0
4256253,0.9746,-0.0065,0.0043,-0.2239,-0.0017,-0.0076,0.0234,0
4256420,0.9746,-0.0065,0.0043,-0.2239,0.0052,-0.0002,0.0122,0
4256586,0.9746,-0.0065,0.0043,-0.2240,-0.0147,-0.0050,-0.0131,0
4256753,0.9746,-0.0065,0.0043,-0.2240,-0.0076,0.0050,-0.0051,0
4256920,0.9746,-0.0065,0.0043,-0.2240,0.0037,-0.0058,0.0142,0
4257086,0.9746,-0.0065,0.0043,-0.2240,0.0146,-0.0064,-0.0097,0
4257253,0.9746,-0.0065,0.0043,-0.2240,0.0052,-0.0007,0.0037,0
4257420,0.9746,-0.0065,0.0043,-0.2240,0.0055,-0.0038,0.0097,0
4257586,0.9746,-0.0065,0.0043,-0.2240,0.0068,-0.0010,0.0141,0
4257753,0.9746,-0.0065,0.0043,-0.2240,-0.0060,-0.0003,0.0142,0
4257920,0.9746,-0.0065,0.0043,-0.2240,-0.0003,0.0059,0.0008,0
4258087,0.9746,-0.0065,0.0043,-0.2240,-0.0075,-0.0080,0.0141,0
4258253,0.9746,-0.0065,0.0043,-0.2240,-0.0017,-0.0021,-0.0040,0
4258420,0.9746,-0.0065,0.0043,-0.2240,-0.0101,-0.0074,0.0164,0
4258587,0.9746,-0.0065,0.0043,-0.2239,-0.0091,-0.0040,-0.0018,0
4258753,0.9746,-0.0065,0.0043,-0.2239,0.0012,-0.0144,-0.0141,0
4258920,0.9746,-0.0065,0.0043,-0.2239,-0.0078,-0.0082,-0.0061,0
4259087,0.9746,-0.0065,0.0043,-0.2240,-0.0063,0.0067,-0.0017,0
4259253,0.9746,-0.0065,0.0043,-0.2239,-0.0122,-0.0021,0.0131,0
4259420,0.9746,-0.0065,0.0043,-0.2240,-0.0194,0.0004,0.0137,0
4259587,0.9746,-0.0065,0.0043,-0.2240,0.0106,-0.0091,-0.0202,0
4259753,0.9746,-0.0065,0.0043,-0.2240,-0.0008,-0.0006,0.0024,0
4259920,0.9746,-0.0065,0.0043,-0.2240,0.0081,-0.0022,0.0139,0
4260087,0.9746,-0.0065,0.0043,-0.2240,-0.0038,-0.0111,-0.0076,0
4260253,0.9746,-0.0065,0.0043,-0.2239,0.0100,0.0151,0.0245,0
4260420,0.9746,-0.0065,0.0043,-0.2240,0.0047,0.0010,0.0208,0
4260587,0.9746,-0.0065,0.0043,-0.2239,-0.0016,0.0026,-0.0080,0
4260753,0.9746,-0.0065,0.0043,-0.2239,-0.0045,0.0022,0.0017,0
4260920,0.9746,-0.0065,0.0043,-0.2239,-0.0032,-0.0010,0.0007,0
4261087,0.9746,-0.0065,0.0043,-0.2239,-0.0105,0.0034,0.0238,0
4261253,0.9746,-0.0065,0.0043,-0.2239,-0.0007,0.0026,0.0211,0
4261420,0.9746,-0.0065,0.0043,-0.2239,-0.0070,-0.0159,0.0055,0
4261587,0.9746,-0.0065,0.0043,-0.2239,-0.0090,-0.0093,0.0070,0
4261753,0.9746,-0.0065,0.0043,-0.2239,0.0163,0.0010,0.0059,0
4261920,0.9746,-0.0065,0.0043,-0.2239,-0.0048,-0.0056,-0.0018,0
4262087,0.9746,-0.0065,0.0043,-0.2239,0.0038,-0.0049,0.0001,0
4262253,0.9746,-0.0065,0.0043,-0.2239,-0.0055,-0.0044,0.0091,0
4262420,0.9746,-0.0065,0.0043,-0.2239,0.0041,0.0110,-0.0029,0
4262587,0.9746,-0.0065,0.0043,-0.2239,0.0028,0.0011,0.0113,0
4262753,0.9746,-0.0065,0.0043,-0.2239,0.0010,0.0074,0.0006,0
4262920,0.9746,-0.0065,0.0043,-0.2239,0.0035,-0.0116,0.0176,0
4263087,0.9746,-0.0065,0.0043,-0.2239,-0.0064,-0.0062,0.0170,0
4263253,0.9746,-0.0065,0.0043,-0.2239,-0.0021,-0.0092,0.0085,0
4263420,0.9746,-0.0065,0.0043,-0.2239,-0.0049,-0.0008,0.0038,0
4263587,0.9746,-0.0065,0.0043,-0.2239,-0.0010,-0.0069,0.0134,0
4263753,0.9746,-0.0065,0.0043,-0.2239,0.0132,0.0014,0.0197,0
4263920,0.9746,-0.0065,0.0043,-0.2239,0.0005,-0.0076,0.0095,0
