DeviceTag: Movella DOT,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2025-11-06 17:44:14.840,Â© Movella Technologies B.V. 2005-2025
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
486628,0.8320,-0.0088,-0.0045,-0.5548,0.0209,0.0042,5.1632,0
486794,0.8320,-0.0084,-0.0045,-0.5547,-0.0039,0.0123,5.1631,0
486961,0.8321,-0.0081,-0.0045,-0.5545,0.0048,-0.0113,5.1814,0
487128,0.8324,-0.0079,-0.0045,-0.5542,0.0014,-0.0164,5.1713,0
487294,0.8322,-0.0077,-0.0045,-0.5544,-0.0027,-0.0022,5.1725,0
487461,0.8322,-0.0075,-0.0045,-0.5543,-0.0111,-0.0222,5.1906,0
487628,0.8323,-0.0074,-0.0045,-0.5543,-0.0094,-0.0337,5.1913,0
487794,0.8322,-0.0073,-0.0045,-0.5544,-0.0154,-0.0160,5.1700,0
487961,0.8323,-0.0072,-0.0044,-0.5543,-0.0093,-0.0139,5.1688,0
488128,0.8323,-0.0070,-0.0044,-0.5542,-0.0162,-0.0226,5.1601,0
488294,0.8324,-0.0069,-0.0044,-0.5541,-0.0184,-0.0223,5.1702,0
488461,0.8324,-0.0067,-0.0043,-0.5542,-0.0211,-0.0471,5.1767,0
488628,0.8323,-0.0066,-0.0043,-0.5542,-0.0107,-0.0598,5.1730,0
488794,0.8324,-0.0064,-0.0043,-0.5542,-0.0185,-0.0348,5.1778,0
488961,0.8323,-0.0063,-0.0043,-0.5542,-0.0220,-0.0594,5.1640,0
489128,0.8323,-0.0062,-0.0042,-0.5543,-0.0200,-0.0489,5.1890,0
489294,0.8323,-0.0061,-0.0042,-0.5542,-0.0306,-0.0519,5.1942,0
489461,0.8323,-0.0059,-0.0042,-0.5542,-0.0330,-0.0614,5.1747,0
489628,0.8323,-0.0058,-0.0042,-0.5543,-0.0363,-0.0689,5.1578,0
489794,0.8322,-0.0057,-0.0042,-0.5544,-0.0227,-0.0792,5.1621,0
489961,0.8322,-0.0055,-0.0041,-0.5544,-0.0368,-0.0694,5.1654,0
490128,0.8322,-0.0054,-0.0041,-0.5544,-0.0373,-0.0800,5.1711,0
490294,0.8322,-0.0053,-0.0041,-0.5544,-0.0449,-0.0827,5.1786,0
490461,0.8322,-0.0051,-0.0041,-0.5544,-0.0411,-0.0781,5.1749,0
490628,0.8322,-0.0050,-0.0041,-0.5545,-0.0361,-0.0822,5.1695,0
490794,0.8322,-0.0049,-0.0040,-0.5545,-0.0407,-0.0961,5.1820,0
490961,0.8322,-0.0047,-0.0040,-0.5545,-0.0438,-0.0842,5.1650,0
491128,0.8322,-0.0046,-0.0040,-0.5545,-0.0419,-0.0985,5.1613,0
491294,0.8322,-0.0045,-0.0040,-0.5545,-0.0474,-0.0912,5.1952,0
491461,0.8322,-0.0044,-0.0039,-0.5545,-0.0486,-0.1017,5.1831,0
491628,0.8321,-0.0042,-0.0039,-0.5545,-0.0359,-0.1159,5.1637,0
491795,0.8322,-0.0040,-0.0039,-0.5545,-0.0479,-0.1131,5.1749,0
491961,0.8321,-0.0038,-0.0039,-0.5545,-0.0505,-0.1104,5.1729,0
492128,0.8322,-0.0035,-0.0038,-0.5545,-0.0661,-0.1376,5.1895,0
492295,0.8321,-0.0033,-0.0038,-0.5546,-0.0584,-0.1436,5.1787,0
492461,0.8321,-0.0031,-0.0038,-0.5546,-0.0631,-0.1456,5.1651,0
492628,0.8321,-0.0029,-0.0037,-0.5546,-0.0620,-0.1529,5.1797,0
492795,0.8321,-0.0027,-0.0037,-0.5546,-0.0701,-0.1594,5.1680,0
492961,0.8321,-0.0025,-0.0036,-0.5546,-0.0727,-0.1521,5.1571,0
493128,0.8321,-0.0022,-0.0036,-0.5546,-0.0774,-0.1641,5.1554,0
493295,0.8321,-0.0020,-0.0036,-0.5546,-0.0813,-0.1671,5.1707,0
493461,0.8321,-0.0018,-0.0035,-0.5546,-0.0642,-0.1749,5.1610,0
493628,0.8321,-0.0016,-0.0035,-0.5546,-0.0860,-0.1944,5.1638,0
493795,0.8321,-0.0014,-0.0035,-0.5546,-0.0945,-0.1941,5.1710,0
493961,0.8321,-0.0011,-0.0034,-0.5546,-0.0903,-0.1932,5.1788,0
494128,0.8321,-0.0009,-0.0034,-0.5547,-0.0897,-0.1919,5.1812,0
494295,0.8321,-0.0007,-0.0034,-0.5546,-0.1018,-0.2097,5.1444,0
494461,0.8321,-0.0005,-0.0033,-0.5547,-0.0922,-0.2178,5.1900,0
494628,0.8320,-0.0003,-0.0033,-0.5547,-0.1058,-0.2180,5.1852,0
494795,0.8320,-0.0000,-0.0033,-0.5547,-0.1088,-0.2268,5.1620,0
494961,0.8320,0.0002,-0.0033,-0.5547,-0.1006,-0.2331,5.1700,0
495128,0.8321,0.0004,-0.0032,-0.5547,-0.0878,-0.2347,5.1760,0
495295,0.8321,0.0006,-0.0032,-0.5547,-0.1002,-0.2401,5.1801,0
495461,0.8321,0.0008,-0.0032,-0.5547,-0.1244,-0.2466,5.1734,0
495628,0.8321,0.0010,-0.0031,-0.5547,-0.1101,-0.2592,5.1693,0
495795,0.8320,0.0013,-0.0031,-0.5547,-0.1267,-0.2535,5.1727,0
495961,0.8320,0.0015,-0.0031,-0.5547,-0.1321,-0.2773,5.1854,0
496128,0.8320,0.0017,-0.0030,-0.5547,-0.1266,-0.2792,5.1774,0
496295,0.8320,0.0019,-0.0030,-0.5547,-0.1358,-0.2864,5.1648,0
496461,0.8320,0.0021,-0.0030,-0.5547,-0.1157,-0.2905,5.1749,0
496628,0.8320,0.0023,-0.0029,-0.5547,-0.1401,-0.2865,5.1838,0
496795,0.8320,0.0025,-0.0029,-0.5547,-0.1364,-0.2928,5.1715,0
496961,0.8320,0.0027,-0.0029,-0.5547,-0.1460,-0.3053,5.1703,0
497128,0.8321,0.0030,-0.0028,-0.5547,-0.1462,-0.3101,5.1789,0
497295,0.8320,0.0032,-0.0028,-0.5547,-0.1484,-0.3178,5.1700,0
497461,0.8320,0.0034,-0.0028,-0.5547,-0.1446,-0.3090,5.1634,0
497628,0.8320,0.0036,-0.0027,-0.5547,-0.1509,-0.3196,5.1689,0
497795,0.8320,0.0038,-0.0027,-0.5547,-0.1605,-0.3282,5.1547,0
497961,0.8320,0.0041,-0.0027,-0.5547,-0.1622,-0.3369,5.1685,0
498128,0.8320,0.0043,-0.0026,-0.5547,-0.1578,-0.3502,5.1765,0
498295,0.8320,0.0045,-0.0026,-0.5547,-0.1598,-0.3591,5.1728,0
498461,0.8320,0.0047,-0.0026,-0.5547,-0.1679,-0.3564,5.1796,0
498628,0.8320,0.0049,-0.0025,-0.5547,-0.1718,-0.3505,5.1649,0
498795,0.8320,0.0051,-0.0025,-0.5547,-0.1744,-0.3585,5.1849,0
498961,0.8320,0.0054,-0.0025,-0.5547,-0.1634,-0.3709,5.1613,0
499128,0.8320,0.0056,-0.0024,-0.5547,-0.1781,-0.3622,5.1858,0
499295,0.8320,0.0058,-0.0024,-0.5547,-0.1688,-0.3790,5.1868,0
499461,0.8320,0.0060,-0.0024,-0.5547,-0.1892,-0.3797,5.1820,0
499628,0.8320,0.0062,-0.0023,-0.5548,-0.1840,-0.3953,5.1802,0
499795,0.8320,0.0064,-0.0023,-0.5548,-0.1810,-0.4124,5.1570,0
499961,0.8320,0.0066,-0.0023,-0.5548,-0.1810,-0.4125,5.1617,0
500128,0.8320,0.0069,-0.0022,-0.5548,-0.1932,-0.4123,5.1680,0
500295,0.8319,0.0071,-0.0022,-0.5548,-0.1955,-0.4265,5.1833,0
500461,0.8319,0.0073,-0.0022,-0.5548,-0.2013,-0.4222,5.1748,0
500628,0.8320,0.0075,-0.0021,-0.5548,-0.2131,-0.4334,5.1662,0
500795,0.8319,0.0077,-0.0021,-0.5548,-0.1965,-0.4326,5.1857,0
500961,0.8319,0.0079,-0.0021,-0.5548,-0.2026,-0.4472,5.1528,0
501128,0.8319,0.0081,-0.0020,-0.5548,-0.2125,-0.4293,5.1701,0
501295,0.8319,0.0084,-0.0020,-0.5548,-0.1965,-0.4480,5.1828,0
501461,0.8319,0.0086,-0.0019,-0.5549,-0.2142,-0.4600,5.1520,0
501628,0.8319,0.0088,-0.0019,-0.5549,-0.2074,-0.4727,5.1596,0
501795,0.8319,0.0090,-0.0019,-0.5549,-0.2240,-0.4770,5.1698,0
501961,0.8318,0.0092,-0.0018,-0.5549,-0.2180,-0.4689,5.1819,0
502128,0.8318,0.0094,-0.0018,-0.5550,-0.2220,-0.4779,5.1716,0
502295,0.8318,0.0097,-0.0018,-0.5550,-0.2115,-0.4855,5.1782,0
502461,0.8318,0.0099,-0.0017,-0.5550,-0.2319,-0.4929,5.1929,0
502628,0.8318,0.0101,-0.0017,-0.5550,-0.2305,-0.5025,5.1459,0
502795,0.8318,0.0103,-0.0017,-0.5550,-0.2307,-0.5082,5.1453,0
502961,0.8318,0.0105,-0.0016,-0.5550,-0.2329,-0.5038,5.1589,0
503128,0.8317,0.0107,-0.0016,-0.5551,-0.2276,-0.5245,5.1661,0
503295,0.8317,0.0110,-0.0016,-0.5551,-0.2511,-0.5361,5.1548,0
503461,0.8317,0.0112,-0.0016,-0.5551,-0.2577,-0.5428,5.1600,0
503628,0.8317,0.0114,-0.0015,-0.5551,-0.2442,-0.5428,5.1716,0
503795,0.8317,0.0116,-0.0015,-0.5551,-0.2530,-0.5347,5.1480,0
503961,0.8317,0.0118,-0.0015,-0.5551,-0.2569,-0.5405,5.1681,0
504128,0.8317,0.0120,-0.0014,-0.5551,-0.2490,-0.5595,5.1777,0
504295,0.8317,0.0122,-0.0014,-0.5552,-0.2652,-0.5440,5.1600,0
504461,0.8316,0.0124,-0.0013,-0.5552,-0.2541,-0.5669,5.1567,0
504628,0.8316,0.0127,-0.0013,-0.5552,-0.2606,-0.5634,5.1762,0
504795,0.8316,0.0129,-0.0013,-0.5552,-0.2646,-0.5878,5.1754,0
504961,0.8316,0.0131,-0.0013,-0.5552,-0.2799,-0.5839,5.1394,0
505128,0.8316,0.0133,-0.0012,-0.5552,-0.2715,-0.5815,5.1770,0
505295,0.8316,0.0135,-0.0012,-0.5552,-0.2803,-0.5951,5.1681,0
505461,0.8316,0.0137,-0.0012,-0.5552,-0.2672,-0.6058,5.1523,0
505628,0.8315,0.0139,-0.0011,-0.5553,-0.2728,-0.6100,5.1562,0
505795,0.8315,0.0141,-0.0011,-0.5553,-0.2805,-0.6105,5.1525,0
505961,0.8315,0.0143,-0.0011,-0.5553,-0.2787,-0.6208,5.1658,0
506128,0.8315,0.0145,-0.0010,-0.5553,-0.2902,-0.6272,5.1844,0
506295,0.8315,0.0147,-0.0010,-0.5553,-0.2936,-0.6269,5.1454,0
506461,0.8317,-0.0090,-0.0048,-0.5552,0.0147,0.0196,5.1964,0
506628,0.8317,-0.0090,-0.0048,-0.5552,-0.0026,0.0220,5.1958,0
506795,0.8317,-0.0091,-0.0048,-0.5552,0.0035,0.0293,5.1762,0
506961,0.8317,-0.0091,-0.0048,-0.5552,0.0022,0.0235,5.1721,0
507128,0.8317,-0.0090,-0.0047,-0.5551,0.0095,0.0160,5.1700,0
507295,0.8317,-0.0090,-0.0047,-0.5551,0.0073,0.0295,5.1941,0
507461,0.8317,-0.0090,-0.0047,-0.5551,0.0043,0.0205,5.1779,0
507628,0.8317,-0.0090,-0.0048,-0.5551,0.0120,0.0240,5.1599,0
507795,0.8317,-0.0090,-0.0047,-0.5551,0.0146,0.0319,5.1792,0
507961,0.8317,-0.0090,-0.0047,-0.5551,0.0129,0.0334,5.1647,0
508128,0.8317,-0.0090,-0.0047,-0.5551,0.0109,0.0143,5.2007,0
508295,0.8317,-0.0090,-0.0048,-0.5551,0.0094,0.0306,5.1957,0
508462,0.8317,-0.0090,-0.0048,-0.5551,-0.0015,0.0198,5.1832,0
508628,0.8317,-0.0090,-0.0048,-0.5551,0.0175,0.0104,5.1839,0
508795,0.8317,-0.0090,-0.0048,-0.5551,0.0200,0.0105,5.1879,0
508962,0.8317,-0.0090,-0.0047,-0.5551,0.0177,0.0189,5.1846,0
509128,0.8317,-0.0090,-0.0048,-0.5551,0.0024,0.0219,5.1867,0
509295,0.8317,-0.0090,-0.0048,-0.5551,0.0004,0.0288,5.1748,0
509462,0.8317,-0.0090,-0.0047,-0.5551,0.0124,0.0346,5.1906,0
509628,0.8317,-0.0090,-0.0048,-0.5551,0.0139,0.0278,5.1750,0
509795,0.8317,-0.0090,-0.0048,-0.5551,0.0210,0.0236,5.1888,0
509962,0.8317,-0.0090,-0.0048,-0.5551,0.0107,0.0133,5.1786,0
510128,0.8317,-0.0090,-0.0048,-0.5551,-0.0021,0.0221,5.1788,0
510295,0.8317,-0.0090,-0.0048,-0.5551,0.0156,0.0135,5.1694,0
510462,0.8317,-0.0090,-0.0048,-0.5551,0.0047,0.0248,5.1844,0
510628,0.8317,-0.0091,-0.0048,-0.5551,0.0059,0.0197,5.1769,0
510795,0.8317,-0.0091,-0.0047,-0.5551,0.0062,0.0255,5.1571,0
510962,0.8317,-0.0090,-0.0047,-0.5551,0.0180,0.0328,5.1731,0
511128,0.8317,-0.0090,-0.0048,-0.5551,0.0008,0.0229,5.1766,0
511295,0.8317,-0.0090,-0.0048,-0.5551,0.0081,0.0333,5.1701,0
511462,0.8317,-0.0090,-0.0048,-0.5551,0.0098,0.0021,5.1778,0
511628,0.8317,-0.0091,-0.0048,-0.5551,0.0076,0.0172,5.1836,0
511795,0.8317,-0.0091,-0.0048,-0.5551,0.0123,0.0125,5.1812,0
511962,0.8317,-0.0090,-0.0048,-0.5551,-0.0004,0.0175,5.2000,0
512128,0.8317,-0.0090,-0.0048,-0.5551,0.0019,0.0165,5.1967,0
512295,0.8317,-0.0091,-0.0048,-0.5551,0.0037,0.0197,5.1656,0
512462,0.8317,-0.0090,-0.0048,-0.5551,0.0052,0.0313,5.1796,0
512628,0.8317,-0.0091,-0.0048,-0.5551,0.0161,0.0127,5.1786,0
512795,0.8317,-0.0091,-0.0048,-0.5551,0.0144,0.0237,5.1740,0
512962,0.8317,-0.0090,-0.0048,-0.5551,0.0024,0.0302,5.1830,0
513128,0.8317,-0.0090,-0.0048,-0.5551,0.0053,0.0258,5.1972,0
513295,0.8317,-0.0090,-0.0048,-0.5551,-0.0042,0.0247,5.1993,0
513462,0.8317,-0.0091,-0.0048,-0.5551,0.0155,0.0202,5.1905,0
513628,0.8317,-0.0091,-0.0047,-0.5551,0.0088,0.0155,5.1599,0
513795,0.8317,-0.0090,-0.0047,-0.5551,0.0084,0.0274,5.1910,0
513962,0.8317,-0.0090,-0.0048,-0.5551,0.0119,0.0184,5.1820,0
514128,0.8317,-0.0090,-0.0047,-0.5551,0.0073,0.0373,5.1872,0
514295,0.8317,-0.0090,-0.0047,-0.5551,0.0213,0.0144,5.1699,0
514462,0.8317,-0.0090,-0.0047,-0.5551,0.0030,0.0264,5.1831,0
514628,0.8317,-0.0090,-0.0048,-0.5551,0.0085,0.0166,5.1909,0
514795,0.8318,-0.0090,-0.0047,-0.5550,0.0238,0.0240,5.1732,0
514962,0.8318,-0.0090,-0.0047,-0.5550,0.0016,0.0360,5.1797,0
515128,0.8318,-0.0090,-0.0047,-0.5550,0.0031,0.0312,5.1890,0
515295,0.8318,-0.0090,-0.0047,-0.5550,0.0087,0.0189,5.1466,0
515462,0.8318,-0.0091,-0.0047,-0.5550,0.0072,0.0304,5.1712,0
515628,0.8318,-0.0091,-0.0047,-0.5550,0.0151,0.0102,5.1732,0
515795,0.8318,-0.0091,-0.0047,-0.5550,0.0219,0.0253,5.1834,0
515962,0.8318,-0.0091,-0.0047,-0.5550,0.0168,0.0276,5.1748,0
516128,0.8318,-0.0090,-0.0047,-0.5550,-0.0052,0.0127,5.1913,0
516295,0.8318,-0.0090,-0.0047,-0.5551,0.0125,0.0232,5.2085,0
516462,0.8318,-0.0090,-0.0047,-0.5550,0.0034,0.0186,5.1623,0
516628,0.8318,-0.0090,-0.0047,-0.5550,0.0136,0.0254,5.1693,0
516795,0.8318,-0.0090,-0.0047,-0.5550,0.0195,0.0046,5.1466,0
516962,0.8318,-0.0090,-0.0047,-0.5550,0.0259,0.0203,5.1750,0
517128,0.8318,-0.0091,-0.0047,-0.5550,0.0163,0.0204,5.2126,0
517295,0.8318,-0.0091,-0.0047,-0.5550,0.0196,0.0221,5.1882,0
517462,0.8318,-0.0090,-0.0046,-0.5550,-0.0037,0.0210,5.1649,0
517628,0.8318,-0.0091,-0.0046,-0.5550,0.0086,0.0204,5.1531,0
517795,0.8318,-0.0091,-0.0046,-0.5550,0.0078,0.0222,5.1859,0
517962,0.8318,-0.0090,-0.0046,-0.5550,0.0131,0.0176,5.1911,0
518128,0.8318,-0.0091,-0.0046,-0.5550,0.0068,0.0295,5.1768,0
518295,0.8318,-0.0091,-0.0046,-0.5550,0.0128,0.0160,5.1813,0
518462,0.8318,-0.0091,-0.0046,-0.5550,0.0182,0.0146,5.1939,0
518628,0.8318,-0.0091,-0.0046,-0.5550,0.0064,0.0254,5.1789,0
518795,0.8318,-0.0090,-0.0046,-0.5550,0.0098,0.0126,5.1645,0
518962,0.8318,-0.0091,-0.0046,-0.5550,0.0133,0.0206,5.1838,0
519128,0.8318,-0.0091,-0.0046,-0.5550,0.0116,0.0069,5.1933,0
